participant_id,wave_month,examination_stress,academic_pressure,homework_burden,school_climate,bullying_exposure,harsh_discipline,educational_aspirations,fear_of_failure,teacher_support,counselling_access,household_assets,food_insecurity,economic_strain,employment_pressure,financial_stress,digital_access,household_instability,internalised_stigma,community_stigma,family_stigma,school_stigma,mental_health_literacy,help_seeking_intention,help_seeking_behaviour,awareness_of_services,resilience_score,social_support,family_connectedness,peer_support,community_connectedness,religious_support,school_belonging
NEPS-GHA-0004,6,5.8,9.8,0.4,Hostile,Cyber,Sometimes,Employment,4.4,9.8,Yes,12,Mild,2.5,Financial need,0.0,Basic phone,Some instability,4.3,9.5,9.2,6.2,13.3,Yes,Religious,,30.9,8.2,8.0,5.9,2.5,8.4,18.8
NEPS-GHA-0004,12,6.8,9.0,6.2,Neutral,Cyber,Never,Employment,2.9,4.3,Don't know,19,Moderate,4.6,Financial need,6.8,,Highly unstable,1.7,0.8,5.2,6.3,6.7,Yes,Religious,Good,80.7,2.9,0.9,19.7,12.2,15.4,9.1
NEPS-GHA-0004,18,8.9,5.8,7.2,Neutral,Cyber,Often,Vocational,1.5,6.9,Yes,13,Mild,1.8,Financial need,0.5,Basic phone,Stable,4.6,8.0,6.7,9.9,11.9,Maybe,,,44.6,3.2,17.2,9.0,15.0,16.8,5.5
NEPS-GHA-0004,24,7.8,4.8,2.4,Neutral,,Sometimes,Vocational,2.7,3.2,Don't know,2,Mild,1.5,Financial need,6.9,Basic phone,Stable,4.1,3.3,4.7,0.6,16.7,Maybe,Professional,,38.0,0.1,7.0,15.1,17.1,19.1,8.4
NEPS-GHA-0005,6,7.5,5.5,6.0,Supportive,Cyber,Rarely,Employment,4.4,0.3,No,12,Mild,8.4,Family expects,9.8,Smartphone,Some instability,5.9,6.6,0.8,4.3,17.3,Yes,Professional,Some,37.9,4.2,6.5,15.2,7.6,15.0,16.6
NEPS-GHA-0005,12,2.5,0.8,0.2,Hostile,,Sometimes,Vocational,6.5,7.8,Don't know,1,,9.5,Family expects,8.4,Basic phone,Stable,1.3,6.7,5.6,2.2,14.0,Maybe,Informal,,60.7,15.0,2.3,16.4,19.3,2.2,0.5
NEPS-GHA-0005,18,3.1,6.8,9.6,Neutral,Verbal,Never,Vocational,1.0,7.7,Don't know,19,,8.0,,3.5,,Highly unstable,3.7,5.1,3.4,8.5,16.4,Yes,,Some,63.6,16.6,14.1,8.7,14.7,19.3,5.4
NEPS-GHA-0005,24,8.1,5.4,4.8,Neutral,Multiple,Sometimes,Employment,8.5,8.3,Yes,8,Severe,2.4,Financial need,5.7,,Some instability,0.3,8.5,1.8,2.1,16.0,Maybe,Religious,,70.1,5.5,0.2,19.0,1.7,14.4,9.8
NEPS-GHA-0006,6,7.6,6.9,6.5,Neutral,Cyber,Never,University,2.9,4.0,Yes,9,Moderate,4.7,Self pressure,4.3,Shared,Some instability,7.0,2.7,2.5,1.2,3.9,Yes,Informal,Good,21.6,9.7,14.5,19.5,10.5,5.7,2.0
NEPS-GHA-0006,12,1.9,2.3,1.8,Supportive,Multiple,Rarely,Employment,0.5,0.5,No,4,Severe,1.0,,5.7,,Some instability,4.4,1.8,0.5,9.4,9.6,Yes,,Some,7.4,12.6,1.1,3.0,11.3,6.1,19.9
NEPS-GHA-0006,18,1.2,7.6,6.1,Hostile,Verbal,Often,Undecided,9.1,3.0,Don't know,13,Moderate,5.7,,6.1,Smartphone,Stable,6.3,2.6,0.8,2.4,11.0,Yes,Professional,Some,45.1,11.9,5.8,4.6,14.1,14.1,9.1
NEPS-GHA-0006,24,6.9,9.2,7.9,Hostile,Multiple,Rarely,Undecided,1.1,2.2,Yes,8,Mild,0.7,Family expects,7.9,Shared,Some instability,1.2,6.9,7.0,9.4,10.0,Maybe,,Good,59.8,17.8,14.7,12.1,0.5,4.6,13.5
NEPS-GHA-0007,6,8.6,5.9,0.2,Hostile,Physical,Never,Vocational,4.7,6.5,No,5,Severe,6.3,Financial need,9.7,,Some instability,4.1,3.2,1.0,1.6,8.2,Maybe,Religious,,94.5,16.3,11.0,9.1,6.3,6.5,19.4
NEPS-GHA-0007,12,4.0,5.1,9.9,Hostile,Multiple,Often,Undecided,0.5,5.2,Don't know,15,Severe,7.6,Family expects,2.7,Basic phone,Some instability,4.4,7.0,1.2,9.7,12.2,Yes,Informal,Some,55.1,11.0,1.9,19.8,18.3,9.2,2.3
NEPS-GHA-0007,18,8.3,5.0,7.2,Hostile,Physical,Often,Undecided,9.8,2.4,Don't know,4,Severe,1.9,Family expects,8.6,Shared,Some instability,3.4,7.9,2.7,0.0,14.5,No,,Good,44.7,9.7,6.6,15.3,7.5,18.7,17.4
NEPS-GHA-0007,24,9.8,2.4,3.8,Neutral,,Sometimes,Undecided,7.1,8.1,No,20,Mild,5.0,,1.3,Shared,Stable,8.7,4.4,5.3,4.6,14.4,Maybe,Informal,Good,46.9,19.4,6.8,13.9,13.0,17.0,17.0
NEPS-GHA-0008,6,8.6,3.8,3.2,Hostile,Cyber,Never,University,2.3,6.8,No,7,,4.3,,7.6,Smartphone,Some instability,1.7,3.0,0.3,3.2,1.1,Maybe,Religious,Some,14.6,10.6,11.3,15.9,3.4,1.6,17.4
NEPS-GHA-0008,12,6.2,2.4,9.1,Supportive,Verbal,Often,Employment,4.6,6.7,No,9,Mild,0.7,Self pressure,9.9,Shared,Highly unstable,9.6,6.9,4.6,3.0,20.0,Maybe,Professional,Good,38.1,7.2,5.9,14.0,0.4,16.6,7.9
NEPS-GHA-0008,18,0.1,8.7,7.8,Supportive,Multiple,Often,Employment,7.8,2.3,No,7,Mild,6.2,Family expects,6.3,Smartphone,Some instability,7.9,0.3,3.6,1.3,18.2,Maybe,,Good,20.1,15.7,17.5,7.3,10.0,5.5,3.3
NEPS-GHA-0008,24,9.1,9.4,9.7,Neutral,Physical,Never,Undecided,9.6,1.4,Yes,12,Moderate,0.9,Financial need,0.1,Smartphone,Some instability,3.7,7.5,2.6,3.8,12.8,Maybe,Professional,,23.4,0.5,17.7,11.2,18.3,4.4,1.3
NEPS-GHA-0009,6,8.2,9.1,3.0,Neutral,,Rarely,University,9.5,3.0,No,3,,2.3,Family expects,3.9,Shared,Highly unstable,9.5,7.0,5.4,5.9,14.5,Maybe,Professional,Some,61.6,18.8,5.6,13.8,4.3,8.9,4.7
NEPS-GHA-0009,12,3.6,9.8,3.7,Hostile,Physical,Never,Undecided,2.8,9.7,No,2,Mild,6.4,,0.5,Shared,Stable,9.9,7.9,2.1,8.3,11.1,No,Informal,Good,32.9,3.0,18.0,0.1,17.2,2.9,2.6
NEPS-GHA-0009,18,2.5,1.7,6.6,Supportive,Verbal,Never,Employment,7.9,2.4,No,0,Mild,2.7,Family expects,7.4,Smartphone,Highly unstable,0.6,4.5,3.6,5.9,9.0,Yes,Professional,,78.3,17.3,10.4,9.2,19.3,1.2,9.6
NEPS-GHA-0009,24,4.0,6.9,4.9,Neutral,,Never,Employment,6.1,0.7,No,19,Moderate,3.8,Self pressure,4.5,,Stable,7.9,1.1,6.5,8.8,11.0,Yes,,Some,88.8,8.3,16.5,8.0,14.6,6.3,6.3
NEPS-GHA-0010,6,2.5,9.5,6.9,Neutral,,Never,University,0.9,1.0,Don't know,11,Mild,5.6,Self pressure,6.7,,Some instability,8.7,9.4,4.2,9.2,1.0,Maybe,Religious,Some,10.4,10.1,3.1,9.6,16.9,7.0,11.1
NEPS-GHA-0010,12,1.1,2.8,2.3,Neutral,Multiple,Never,Employment,0.3,2.7,No,10,Moderate,0.1,Family expects,5.7,,Stable,1.4,6.3,0.3,7.5,4.3,Maybe,,Some,15.7,6.2,6.5,18.8,11.9,17.7,3.1
NEPS-GHA-0010,18,7.5,0.5,0.8,Neutral,Cyber,Often,Undecided,4.1,2.2,Don't know,3,Moderate,4.3,Self pressure,6.8,,Highly unstable,6.7,0.5,4.0,6.0,0.2,Maybe,Informal,Good,76.4,5.8,2.4,9.9,8.6,2.6,10.7
NEPS-GHA-0010,24,2.3,5.6,6.7,Neutral,,Often,University,4.4,4.6,Yes,10,Severe,5.7,Financial need,2.9,,Stable,9.7,1.7,9.5,4.6,13.8,Maybe,Professional,Some,84.4,4.9,11.8,10.5,7.9,6.2,6.8
NEPS-GHA-0011,6,3.3,1.7,5.1,Supportive,Multiple,Rarely,Employment,3.5,9.6,Don't know,4,Mild,1.0,Self pressure,2.0,Basic phone,Highly unstable,0.8,9.5,6.3,4.6,11.3,No,,,92.4,11.3,12.7,12.5,17.3,12.5,3.0
NEPS-GHA-0011,12,0.7,4.4,3.0,Neutral,Multiple,Never,Employment,5.1,3.1,No,1,,3.7,Self pressure,0.8,Smartphone,Highly unstable,5.9,3.8,5.8,9.5,14.8,Yes,,,65.2,6.4,9.5,3.0,1.2,2.1,18.0
NEPS-GHA-0011,18,3.4,7.1,5.0,Supportive,,Rarely,Undecided,9.9,5.2,Don't know,5,Moderate,3.7,Self pressure,3.9,Shared,Highly unstable,6.0,7.9,6.5,0.7,1.9,No,,Some,25.2,17.0,19.3,12.1,3.0,1.6,13.3
NEPS-GHA-0011,24,9.2,3.1,6.6,Hostile,Cyber,Rarely,University,3.1,3.8,No,4,,6.5,Financial need,5.1,Smartphone,Some instability,3.1,9.5,3.4,7.7,3.8,Yes,Informal,Good,29.6,15.8,10.2,10.8,14.8,10.5,13.2
NEPS-GHA-0012,6,8.8,6.2,6.0,Supportive,Verbal,Rarely,Vocational,7.2,0.4,No,7,Severe,6.1,Financial need,2.3,Basic phone,Some instability,9.7,7.8,9.0,1.9,13.6,No,,Some,76.9,15.6,10.1,8.4,3.2,4.0,12.1
NEPS-GHA-0012,12,8.7,0.5,4.8,Neutral,Multiple,Never,University,2.9,7.6,No,14,Mild,8.3,,9.5,Basic phone,Some instability,8.8,9.3,4.1,4.0,7.5,Maybe,Professional,Some,22.5,6.4,2.0,14.3,6.7,2.9,0.8
NEPS-GHA-0012,18,9.2,4.7,8.3,Hostile,Cyber,Often,University,9.1,0.2,Yes,4,Severe,1.1,Self pressure,2.4,Smartphone,Stable,2.4,6.4,6.2,0.6,16.7,Maybe,Professional,,51.5,4.8,2.9,8.6,12.3,4.8,8.3
NEPS-GHA-0012,24,6.6,0.9,9.7,Supportive,Multiple,Never,Undecided,8.7,0.4,No,11,Moderate,7.5,Self pressure,7.9,Shared,Stable,7.3,6.3,7.7,7.4,6.7,Yes,Religious,,33.9,12.9,16.6,13.7,19.6,9.6,3.6
NEPS-GHA-0013,6,1.3,7.2,9.4,Supportive,Physical,Rarely,University,7.9,8.9,No,9,Severe,9.9,Financial need,2.5,Basic phone,Some instability,3.6,7.8,8.7,3.3,2.5,Maybe,,Some,74.3,17.9,7.7,19.5,9.9,10.0,18.5
NEPS-GHA-0013,12,5.2,8.0,7.3,Supportive,Cyber,Rarely,Employment,3.2,0.8,Don't know,9,Moderate,4.5,Financial need,1.7,,Some instability,4.5,7.3,9.1,6.1,8.7,No,Professional,Good,67.1,8.1,10.3,15.0,3.2,0.6,17.0
NEPS-GHA-0013,18,6.8,4.4,1.3,Supportive,Physical,Sometimes,Undecided,9.5,0.3,Yes,14,Moderate,3.7,,5.7,Shared,Some instability,3.1,2.8,9.6,0.3,3.7,No,,,11.8,15.5,14.1,4.3,12.2,13.9,20.0
NEPS-GHA-0013,24,2.0,1.4,0.7,Supportive,Cyber,Never,Employment,6.7,7.1,Don't know,17,Moderate,8.9,Family expects,7.1,Basic phone,Some instability,5.1,1.2,2.0,1.4,15.8,Yes,Religious,,57.2,9.3,19.7,2.6,17.7,1.3,8.0
NEPS-GHA-0014,6,7.2,4.8,4.1,Neutral,Multiple,Never,Vocational,9.7,6.4,No,14,Moderate,1.3,Family expects,7.7,Basic phone,Some instability,5.0,8.7,8.3,5.2,6.1,Yes,Religious,,22.5,18.9,10.4,5.7,1.6,3.9,19.1
NEPS-GHA-0014,12,2.7,6.3,6.1,Supportive,Multiple,Rarely,Vocational,1.7,6.2,Don't know,10,,8.3,,0.8,Shared,Highly unstable,2.1,5.7,6.2,0.3,17.8,No,Religious,,95.7,9.7,16.1,13.7,5.9,1.5,1.2
NEPS-GHA-0014,18,4.4,4.8,2.0,Hostile,Verbal,Sometimes,Employment,7.3,8.6,No,4,Moderate,5.1,,3.2,,Stable,2.7,2.5,1.0,2.9,7.7,No,,Good,96.3,18.0,16.3,18.7,14.4,3.8,3.2
NEPS-GHA-0014,24,10.0,4.7,8.8,Neutral,,Never,Undecided,5.1,9.7,Yes,18,Moderate,0.5,Self pressure,4.9,,Some instability,5.4,8.5,4.3,8.8,14.6,Maybe,Religious,Good,40.1,11.4,3.9,11.1,1.5,10.1,15.3
NEPS-GHA-0015,6,2.8,9.9,6.8,Supportive,Verbal,Never,Undecided,3.7,9.9,Don't know,11,Mild,2.0,Financial need,5.0,Smartphone,Stable,1.4,3.3,4.7,4.6,12.1,No,Informal,Some,93.1,6.4,7.9,12.3,16.9,11.9,10.1
NEPS-GHA-0015,12,5.1,4.9,5.6,Neutral,,Sometimes,Employment,6.7,9.8,Don't know,9,,6.0,Self pressure,9.7,Basic phone,Highly unstable,0.5,4.8,5.2,7.2,15.5,Maybe,Informal,,24.2,11.5,14.0,3.8,8.8,8.4,8.3
NEPS-GHA-0015,18,2.0,5.0,6.1,Neutral,,Rarely,Vocational,5.6,10.0,No,16,Severe,3.1,Family expects,4.6,Shared,Highly unstable,3.5,7.7,7.2,6.4,13.9,No,,Good,95.7,5.6,6.0,18.8,19.6,15.4,14.1
NEPS-GHA-0015,24,6.9,4.9,4.8,Hostile,Physical,Sometimes,University,5.7,5.4,No,11,Mild,2.9,Self pressure,9.6,Smartphone,Some instability,9.2,6.6,7.5,2.1,16.6,Maybe,Religious,Good,10.9,14.8,4.8,1.0,18.1,4.5,4.7
NEPS-GHA-0016,6,1.0,3.3,4.7,Hostile,Verbal,Never,Vocational,4.1,9.4,No,15,Mild,7.6,Self pressure,3.2,Smartphone,Stable,6.5,2.3,7.4,8.5,0.7,Yes,,Good,93.4,0.7,16.7,15.8,3.7,15.0,17.4
NEPS-GHA-0016,12,2.9,0.4,3.0,Hostile,,Sometimes,Employment,4.5,6.4,Don't know,15,Mild,8.5,Financial need,2.7,Smartphone,Some instability,1.6,4.6,2.6,1.9,14.7,Maybe,Informal,Good,61.1,12.8,8.1,8.6,6.6,8.0,1.9
NEPS-GHA-0016,18,9.8,4.8,9.4,Supportive,Physical,Often,Vocational,4.5,2.7,No,9,,2.6,Self pressure,6.9,Smartphone,Highly unstable,1.2,3.1,4.1,5.0,17.9,No,Religious,,11.7,18.3,5.9,12.3,4.4,2.7,3.1
NEPS-GHA-0016,24,7.5,6.1,4.2,Hostile,Cyber,Rarely,Vocational,6.8,6.0,Yes,16,Severe,5.3,Self pressure,0.8,Smartphone,Stable,8.3,9.0,2.0,5.4,3.3,No,,Good,68.0,14.3,9.8,18.0,8.9,1.1,2.6
NEPS-GHA-0017,6,4.2,5.6,5.6,Hostile,Physical,Never,Undecided,2.5,0.0,Yes,18,,0.5,Self pressure,7.0,Smartphone,Stable,9.9,4.7,2.9,1.8,2.7,No,,Some,99.3,7.6,17.4,18.1,7.5,13.7,13.2
NEPS-GHA-0017,12,5.4,6.5,3.5,Supportive,Multiple,Often,Vocational,7.3,2.2,Yes,0,Moderate,4.6,Financial need,5.3,Basic phone,Stable,4.6,1.6,1.9,8.8,15.3,Yes,,,76.6,17.7,0.3,4.1,2.0,0.7,12.0
NEPS-GHA-0017,18,7.0,0.5,7.4,Neutral,Cyber,Rarely,Vocational,7.5,7.8,Yes,16,Moderate,2.3,Self pressure,5.8,Shared,Stable,3.0,1.4,6.6,2.2,6.0,Yes,Informal,,67.9,11.1,0.9,6.9,12.9,7.6,10.5
NEPS-GHA-0017,24,7.0,4.1,3.0,Supportive,Multiple,Often,Vocational,8.5,3.0,Don't know,4,Severe,9.1,Financial need,9.7,Basic phone,Some instability,2.4,2.0,6.5,9.2,16.9,Yes,Informal,Good,26.8,13.5,12.1,17.5,3.8,15.2,14.5
NEPS-GHA-0018,6,5.6,4.8,8.7,Neutral,Physical,Never,Vocational,9.4,9.6,Yes,15,Mild,7.0,Family expects,4.0,Basic phone,Highly unstable,3.2,2.8,4.7,6.5,6.2,Maybe,,Some,9.9,19.6,9.4,16.8,18.3,7.4,8.3
NEPS-GHA-0018,12,5.6,2.2,1.5,Neutral,Multiple,Often,Employment,1.5,3.3,No,18,Mild,5.0,Self pressure,2.6,,Highly unstable,6.4,4.9,1.7,7.9,3.4,No,,Good,91.7,10.8,12.8,1.2,0.7,16.9,18.9
NEPS-GHA-0018,18,6.7,7.6,4.1,Hostile,Verbal,Never,Vocational,0.1,5.1,No,1,Severe,6.6,,0.1,,Stable,0.2,7.2,5.4,2.9,10.0,No,,Good,10.7,1.9,3.0,3.8,10.5,16.3,5.3
NEPS-GHA-0018,24,4.0,3.7,4.1,Hostile,Verbal,Rarely,Employment,6.8,8.5,Don't know,20,,0.9,Financial need,3.8,,Stable,6.4,7.0,0.8,8.5,12.9,Maybe,Professional,,91.9,4.6,18.0,13.8,11.3,5.4,18.5
NEPS-GHA-0019,6,6.8,2.8,5.4,Hostile,,Rarely,Employment,0.2,2.1,Yes,12,,3.0,Family expects,5.7,,Highly unstable,9.0,3.3,7.6,1.4,19.8,No,Professional,,74.5,6.9,2.0,4.6,1.5,12.1,12.3
NEPS-GHA-0019,12,6.0,9.7,3.3,Hostile,Physical,Often,Undecided,2.3,5.5,No,13,Mild,6.8,Financial need,0.9,Shared,Stable,7.1,0.8,1.5,7.1,12.7,No,,Some,36.1,1.8,18.9,8.9,15.2,2.0,1.7
NEPS-GHA-0019,18,4.3,5.6,5.1,Supportive,,Never,Employment,5.5,6.0,No,12,,2.9,Financial need,7.8,Basic phone,Highly unstable,5.2,6.9,1.7,2.7,5.4,Yes,Professional,Good,43.5,8.4,9.7,1.5,5.0,4.9,12.5
NEPS-GHA-0019,24,5.9,2.0,1.1,Neutral,,Often,Employment,8.4,3.8,No,14,Moderate,4.3,Family expects,3.0,Basic phone,Some instability,3.1,9.6,9.7,2.9,13.9,Maybe,Informal,Some,37.6,16.3,7.9,2.3,11.3,11.8,10.9
NEPS-GHA-0020,6,6.8,5.5,9.5,Neutral,Verbal,Often,Employment,8.3,0.7,No,15,Mild,6.3,Family expects,2.5,Basic phone,Highly unstable,4.2,3.8,4.5,6.0,11.6,No,,,3.7,19.4,14.0,16.2,11.9,18.3,2.2
NEPS-GHA-0020,12,2.5,6.6,1.7,Hostile,,Often,Employment,9.7,4.3,Yes,3,Moderate,2.2,Family expects,4.5,,Some instability,7.7,5.9,5.0,3.4,0.5,Yes,Religious,Some,92.1,1.7,16.6,14.6,7.0,6.9,15.7
NEPS-GHA-0020,18,5.2,3.5,1.0,Hostile,Cyber,Sometimes,University,3.0,8.1,Yes,0,Moderate,6.5,Family expects,9.3,Basic phone,Highly unstable,1.7,1.6,5.6,9.6,4.6,Maybe,Informal,Good,64.0,8.6,0.6,12.3,3.9,11.8,7.8
NEPS-GHA-0020,24,7.0,2.1,7.5,Supportive,Multiple,Never,Vocational,3.7,2.0,Yes,8,Severe,5.3,Self pressure,6.0,,Highly unstable,1.1,3.5,4.6,1.7,13.5,Maybe,Professional,,13.4,2.4,6.1,3.7,13.9,10.2,8.4
NEPS-GHA-0021,6,1.4,3.8,1.9,Hostile,Multiple,Rarely,Vocational,4.9,1.4,No,14,,8.7,,4.8,Basic phone,Some instability,9.6,5.1,4.9,6.8,8.3,Maybe,,Good,8.3,0.6,15.2,5.8,5.5,10.8,3.4
NEPS-GHA-0021,12,4.6,7.4,7.7,Hostile,Multiple,Never,University,2.7,5.4,No,17,,7.6,Financial need,5.5,,Stable,7.4,6.5,2.5,8.7,0.6,Maybe,Religious,Good,43.9,19.9,15.5,4.7,16.2,11.8,7.0
NEPS-GHA-0021,18,7.1,6.3,1.7,Supportive,Verbal,Rarely,University,5.7,5.3,Don't know,17,Mild,3.2,Self pressure,2.9,Shared,Highly unstable,9.9,6.8,1.0,9.6,15.7,Yes,Religious,,12.7,17.3,5.0,14.2,16.6,15.2,13.5
NEPS-GHA-0021,24,4.9,5.8,2.7,Neutral,Cyber,Often,University,6.3,8.8,Yes,12,Moderate,6.9,Self pressure,4.5,,Some instability,5.8,8.7,8.5,0.9,19.4,No,Religious,Good,79.6,8.0,19.4,16.5,9.9,6.5,5.7
NEPS-GHA-0022,6,5.5,1.3,8.5,Neutral,,Never,University,6.3,8.4,Yes,3,Mild,4.4,,9.9,,Stable,10.0,9.1,8.8,3.0,17.5,Maybe,Professional,,36.0,1.6,13.3,13.0,1.0,12.5,14.5
NEPS-GHA-0022,12,7.6,4.3,0.9,Supportive,,Rarely,Undecided,0.8,5.9,Don't know,14,,0.1,Self pressure,8.2,,Highly unstable,1.3,0.7,3.8,7.3,2.0,Maybe,Religious,Some,13.7,15.5,15.1,2.7,19.9,2.9,10.6
NEPS-GHA-0022,18,0.1,6.5,4.4,Hostile,Verbal,Rarely,Undecided,6.2,4.4,Yes,2,,1.4,,5.9,,Some instability,9.6,3.1,1.4,2.8,1.7,No,Religious,,2.7,16.9,17.5,4.1,12.1,3.8,7.8
NEPS-GHA-0022,24,6.5,7.8,7.9,Supportive,Cyber,Often,University,2.4,6.4,Yes,16,,9.9,Self pressure,1.3,,Some instability,5.5,1.7,4.7,9.9,1.5,No,Professional,Good,26.2,0.8,1.2,15.8,10.1,12.6,10.0
NEPS-GHA-0023,6,4.2,7.0,0.8,Hostile,Multiple,Rarely,Employment,0.8,0.8,Yes,4,Moderate,3.9,,3.1,,Highly unstable,9.5,2.4,2.4,9.2,2.3,No,Professional,Some,66.6,13.2,3.5,0.3,2.7,0.2,9.9
NEPS-GHA-0023,12,3.5,5.2,8.2,Neutral,Verbal,Sometimes,Vocational,7.5,8.7,Don't know,3,,3.4,Financial need,2.7,Smartphone,Some instability,7.1,5.8,0.8,4.6,7.2,Maybe,Informal,Some,15.7,15.5,17.9,13.5,2.3,14.8,0.1
NEPS-GHA-0023,18,8.6,0.1,0.5,Neutral,Cyber,Rarely,Vocational,9.3,8.6,Don't know,20,Severe,2.2,Family expects,4.2,Shared,Some instability,8.3,5.7,1.2,6.7,1.1,Yes,Professional,Some,6.9,9.3,5.6,16.9,6.5,11.1,0.2
NEPS-GHA-0023,24,2.0,5.6,3.0,Hostile,Verbal,Often,Employment,5.9,4.9,Yes,17,Mild,1.5,Financial need,0.2,Shared,Highly unstable,8.4,8.8,9.5,0.0,13.1,No,Religious,Good,20.5,19.7,8.4,19.2,19.5,2.8,5.6
NEPS-GHA-0024,6,0.4,2.3,8.5,Neutral,Physical,Often,University,5.8,5.1,Don't know,12,,5.9,,4.3,Basic phone,Stable,2.9,8.5,9.3,3.9,16.6,Maybe,Religious,Some,27.2,1.5,4.1,15.6,11.7,3.1,3.3
NEPS-GHA-0024,12,4.7,4.1,5.4,Supportive,Cyber,Sometimes,Undecided,2.7,1.2,Yes,9,,2.2,Self pressure,1.5,Basic phone,Some instability,4.0,0.5,3.0,8.2,3.5,Maybe,,,74.8,5.0,9.2,16.1,2.8,0.2,16.6
NEPS-GHA-0024,18,9.8,1.3,8.2,Neutral,,Sometimes,University,0.2,0.6,Don't know,14,Mild,0.9,Self pressure,1.2,,Stable,1.7,5.7,8.2,3.9,0.6,No,,Good,35.4,18.2,5.5,8.9,3.0,12.3,12.3
NEPS-GHA-0024,24,6.5,5.0,8.8,Neutral,,Never,Employment,3.8,4.2,Don't know,16,Mild,6.3,,9.9,Shared,Some instability,5.4,4.8,9.1,5.0,7.8,Yes,Professional,Some,59.7,0.6,16.2,5.6,16.2,9.4,7.1
NEPS-GHA-0025,6,5.8,2.3,1.6,Supportive,Verbal,Sometimes,University,7.6,9.5,Don't know,12,Moderate,9.4,Family expects,1.8,Shared,Highly unstable,7.0,9.1,0.3,7.0,19.0,No,Informal,,94.8,16.7,16.2,19.4,10.8,3.5,0.8
